ident,actual_ident,scheduled_departuretm,scheduled_arrivaltm,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
ACA5364,UAL931,2020-05-06T23:30:00.000+0000,2020-05-07T07:10:00.000+0000,KORD,EGLL,B78X,Business: Dinner / Economy: Dinner,0,44,274
AUA7852,UAL931,2020-05-06T23:30:00.000+0000,2020-05-07T07:10:00.000+0000,KORD,EGLL,B78X,Business: No meal / Economy: No meal,0,44,274
BEL9086,UAL931,2020-05-06T23:30:00.000+0000,2020-05-07T07:10:00.000+0000,KORD,EGLL,B78X,Business: No meal / Economy: No meal,0,44,274
DLH9349,UAL931,2020-05-06T23:30:00.000+0000,2020-05-07T07:10:00.000+0000,KORD,EGLL,B78X,Business: Dinner / Economy: Dinner,0,44,274
SWR3041,UAL931,2020-05-06T23:30:00.000+0000,2020-05-07T07:10:00.000+0000,KORD,EGLL,B78X,Business: No meal / Economy: No meal,0,44,274
FIN5416,BAW216,2020-05-06T22:35:00.000+0000,2020-05-07T05:55:00.000+0000,KIAD,EGLL,B788,Business: Meal / Economy: Meal,0,35,179
BAW3383,,2020-05-06T17:35:00.000+0000,2020-05-06T20:15:00.000+0000,LPPR,EGLL,B752,,0,0,0
AAL6167,BAW216,2020-05-06T22:35:00.000+0000,2020-05-07T05:55:00.000+0000,KIAD,EGLL,B788,Business: Meal / Economy: Meal,0,35,179
EIN8916,BAW216,2020-05-06T22:35:00.000+0000,2020-05-07T05:55:00.000+0000,KIAD,EGLL,B788,Business: No meal / Economy: No meal,0,35,179
BAW216,,2020-05-06T22:35:00.000+0000,2020-05-07T05:55:00.000+0000,KIAD,EGLL,B788,Business: Meal / Economy: Meal,0,35,179
IBE7404,BAW216,2020-05-06T22:35:00.000+0000,2020-05-07T05:55:00.000+0000,KIAD,EGLL,B788,Business: No meal / Economy: No meal,0,35,179
ALK2856,ACA856,2020-05-06T22:35:00.000+0000,2020-05-07T05:35:00.000+0000,CYYZ,EGLL,B77W,Business: No meal / Economy: No meal,0,40,336
LAN5560,BAW735,2020-05-06T16:45:00.000+0000,2020-05-06T18:25:00.000+0000,LSGG,EGLL,A319,Economy: Food for sale,0,0,144
